Academic Year,County Name,District Name,School Name,School Type,Status,Open Date,City,Zip,Latitude,Longitude,Enroll Total,African American (%),Hispanic (%),Asian (%)
2024-25,Madera,Madera Unified,Madera High,High,Active,7/1/1980 12:00:00 AM,Madera,93637-4650,36.95455304,-120.06484276,1869,1.3,86.9,2.0
2024-25,Los Angeles,Covina-Valley Unified,Northview High,High,Active,7/1/1980 12:00:00 AM,Covina,91722-3145,34.09436888,-117.91109113,1247,2.2,86.2,3.5
2024-25,Fresno,Kings Canyon Joint Unified,General Grant Middle,Middle,Active,7/1/1980 12:00:00 AM,Reedley,93654-2510,36.59930505,-119.44361262,526,0.0,94.1,0.2
2024-25,Shasta,Redding Elementary,Juniper,Elementary,Active,7/1/1980 12:00:00 AM,Redding,96001-3644,40.56284816,-122.38266657,227,3.1,22.0,1.3
2024-25,Fresno,Clovis Unified,Century Elementary,Elementary,Active,8/28/2000 12:00:00 AM,Clovis,93611-8171,36.84763805,-119.69240269,722,2.5,39.3,10.1
2024-25,Santa Clara,Campbell Union,Monroe Middle,Middle,Active,7/1/1980 12:00:00 AM,San Jose,95128-3150,37.30820494,-121.94451309,677,3.8,74.3,4.9
2024-25,Placer,Rocklin Unified,Breen Elementary,Elementary,Active,8/25/1994 12:00:00 AM,Rocklin,95765-5158,38.81810512,-121.25971316,424,1.2,18.9,8.0
2024-25,Los Angeles,Los Angeles Unified,Beethoven Street Elementary,Elementary,Active,7/1/1947 12:00:00 AM,Los Angeles,90066-3517,34.00204584,-118.44332722,315,5.4,58.7,3.5
2024-25,Alameda,Albany City Unified,Ocean View Elementary,Elementary,Active,9/1/1999 12:00:00 AM,Albany,94706-1904,37.88688996,-122.30137821,563,4.4,23.1,33.7
2024-25,Humboldt,Arcata Elementary,Fuente Nueva Charter,Elementary,Active,8/29/2005 12:00:00 AM,Arcata,95521-9623,40.87958304,-124.10049587,150,0.7,44.0,0.0
2024-25,San Diego,SBE - Baypoint Preparatory Academy San Diego,Baypoint Preparatory Academy - San Diego,Elementary,Active,8/20/2018 12:00:00 AM,San Marcos,92078-3811,33.13860281,-117.15006693,162,3.7,55.6,4.9
2024-25,San Bernardino,Oro Grande,Mojave River Academy - Gold Canyon,K-12,Active,8/21/2018 12:00:00 AM,Fontana,92335-8200,34.0912639,-117.47211206,221,1.8,80.1,0.0
2024-25,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",High,Active,8/13/2003 12:00:00 AM,Lennox,90304-2316,33.93511784,-118.3517982,588,0.2,99.1,0.0
2024-25,San Benito,Hollister,Maze Middle,Middle,Active,8/30/1994 12:00:00 AM,Hollister,95023-4107,36.85274294,-121.38551596,580,0.9,84.0,1.4
2024-25,Los Angeles,Azusa Unified,Valleydale Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Azusa,91702-5499,34.10910488,-117.91601214,526,0.8,89.0,0.8
2024-25,San Diego,Chula Vista Elementary,Chula Vista Hills Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Chula Vista,91910-7133,32.63677276,-117.00350687,430,1.4,69.8,3.7
2024-25,Los Angeles,Palos Verdes Peninsula Unified,Montemalaga Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Palos Verdes Estates,90274-1671,33.79070482,-118.39521219,416,1.2,14.9,40.6
2024-25,San Mateo,Ravenswood City Elementary,Costano Elementary,Elementary,Active,7/1/1980 12:00:00 AM,East Palo Alto,94303-1207,37.47812794,-122.13848514,369,7.3,72.9,0.8
2024-25,Los Angeles,Covina-Valley Unified,Rowland Avenue Elementary,Elementary,Active,7/1/1980 12:00:00 AM,West Covina,91790-1845,34.07992288,-117.91783813,423,0.9,77.1,11.8
2024-25,Riverside,Riverside Unified,Longfellow Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Riverside,92507-4161,33.9782049,-117.35941203,701,2.4,90.3,1.1
2024-25,Los Angeles,Little Lake City Elementary,Paddison Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Norwalk,90650-2443,33.92050485,-118.07561215,296,2.0,90.5,3.7
2024-25,San Joaquin,Stockton Unified,Taft Elementary,Elementary,Active,8/26/1992 12:00:00 AM,Stockton,95206-3743,37.91427604,-121.28469806,449,8.5,75.9,7.6
2024-25,Kern,Tehachapi Unified,Monroe High (Continuation),Continuation,Active,7/1/1980 12:00:00 AM,Tehachapi,93561-1513,35.12168796,-118.43448331,25,0.0,52.0,0.0
2024-25,Los Angeles,Norwalk-La Mirada Unified,Earl E. Edmondson Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Norwalk,90650-6627,33.89340485,-118.07681215,352,1.4,92.3,2.3
2024-25,San Bernardino,Fontana Unified,Chaparral Academy of Technology,Elementary,Active,7/1/1980 12:00:00 AM,Fontana,92337-0640,34.0447439,-117.49989106,205,4.4,86.3,1.5
2024-25,Santa Clara,Evergreen Elementary,Quimby Oak Middle,Middle,Active,7/1/1980 12:00:00 AM,San Jose,95148-3022,37.32400495,-121.78581307,857,0.7,24.5,59.3
2024-25,Tulare,Tulare County Office of Education,Eleanor Roosevelt Community Learning Center,K-12,Active,8/13/2001 12:00:00 AM,Visalia,93292-9585,36.35553604,-119.17173455,467,1.5,45.2,1.3
2024-25,Los Angeles,Los Angeles Unified,Kittridge Street Elementary,Elementary,Active,7/1/1957 12:00:00 AM,Van Nuys,91401-1113,34.19093686,-118.42993223,768,1.0,57.6,1.6
2024-25,San Diego,Fallbrook Union Elementary,Santa Margarita Academy,Community Day,Active,8/28/2007 12:00:00 AM,Fallbrook,92028-2108,33.38010283,-117.25515097,3,0.0,100.0,0.0
2024-25,Sierra,Sierra-Plumas Joint Unified,Sierra Pass (Continuation),Continuation,Active,8/25/1997 12:00:00 AM,Loyalton,96118-0037,39.67952527,-120.24533411,5,0.0,20.0,0.0
2024-25,Los Angeles,Los Angeles Unified,West Athens Elementary,Elementary,Active,7/1/1907 12:00:00 AM,Los Angeles,90044-6504,33.92433884,-118.29394019,545,26.2,66.8,0.2
2024-25,Orange,Fullerton Elementary,Pacific Drive Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Fullerton,92833-3940,33.86710485,-117.95361212,607,1.8,81.7,3.1
2024-25,San Francisco,San Francisco Unified,Carmichael (Bessie)/FEC,Elementary,Active,7/1/1980 12:00:00 AM,San Francisco,94103-4020,37.77622694,-122.40638521,555,19.1,25.9,7.2
2024-25,Orange,Santa Ana Unified,Raymond A. Villa Fundamental Intermediate,Middle,Active,9/10/1998 12:00:00 AM,Santa Ana,92701-6318,33.74352684,-117.8485841,936,0.0,97.6,1.6
2024-25,Riverside,Hemet Unified,Diamond Valley Middle,Middle,Active,8/30/2004 12:00:00 AM,Hemet,92543-9658,33.72130489,-116.97331194,1123,10.7,68.6,1.0
2024-25,Fresno,Fresno Unified,Fulton,Special Education,Active,12/29/1994 12:00:00 AM,Fresno,93703-2119,36.769341,-119.78659703,23,8.7,69.6,0.0
2024-25,Mendocino,Mendocino Unified,Mendocino K-8,Elementary,Active,7/1/1980 12:00:00 AM,Mendocino,95460-0226,39.31059696,-123.7841646,241,0.0,18.3,0.0
2024-25,San Diego,Sweetwater Union High,Hilltop Middle,Middle,Active,7/1/1980 12:00:00 AM,Chula Vista,91910-6115,32.63091576,-117.06085188,866,1.4,85.2,1.2
2024-25,Fresno,Fresno Unified,Aspen Ridge Public,High,Active,8/9/2021 12:00:00 AM,Fresno,93726-4806,36.78753204,-119.7855627,246,10.6,78.5,2.8
2024-25,San Diego,San Diego Unified,Carver Elementary,Elementary,Active,7/1/1980 12:00:00 AM,San Diego,92105-3807,32.73985377,-117.07070589,187,17.6,54.0,12.8
2024-25,San Luis Obispo,Lucia Mar Unified,Mesa Middle,Middle,Active,6/22/1990 12:00:00 AM,Arroyo Grande,93420-6539,35.07590483,-120.58151265,474,0.6,65.6,0.8
2024-25,Orange,Los Alamitos Unified,Sharon Christa McAuliffe Middle,Middle,Active,7/1/1980 12:00:00 AM,Los Alamitos,90720-2521,33.80990484,-118.06151214,1018,2.4,33.7,12.0
2024-25,Ventura,Fillmore Unified,Heritage Valley Independent Study,Alternative Schools of Choice,Active,8/15/2011 12:00:00 AM,Fillmore,93015-1353,34.40480485,-118.91631233,32,0.0,93.8,0.0
2024-25,Madera,Golden Valley Unified,Liberty High,High,Active,8/19/2002 12:00:00 AM,Madera,93636-8405,36.92528705,-119.89651573,748,1.3,49.1,4.9
2024-25,Orange,Tustin Unified,Red Hill Elementary,Elementary,Active,9/1/2001 12:00:00 AM,Santa Ana,92705-3105,33.75718985,-117.79345609,436,0.5,30.3,6.4
2024-25,San Bernardino,Etiwanda Elementary,Caryn Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Alta Loma,91737-7960,34.14098091,-117.55122208,553,2.7,41.6,21.3
2024-25,Solano,Fairfield-Suisun Unified,Suisun Valley Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Fairfield,94534-9740,38.28871801,-122.11666623,495,6.3,30.9,7.3
2024-25,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),Opportunity,Active,7/1/1985 12:00:00 AM,Los Angeles,90026-5622,34.066225,-118.25557301,34,2.9,91.2,0.0
2024-25,San Joaquin,Stockton Unified,Alexander Hamilton Elementary,Elementary,Active,8/14/2006 12:00:00 AM,Stockton,95206-3606,37.93229804,-121.24901806,599,7.7,77.8,5.5
2024-25,Siskiyou,Gazelle Union Elementary,Gazelle Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Gazelle,96034-0006,41.52036422,-122.52376874,34,2.9,11.8,5.9
2024-25,San Diego,San Diego Unified,The O'Farrell Charter,K-12,Active,7/1/1980 12:00:00 AM,San Diego,92114-5620,32.70212076,-117.06584388,1862,11.8,58.4,5.0
2024-25,Santa Cruz,Pajaro Valley Unified,Bradley Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Watsonville,95076-0522,36.97629992,-121.80700803,520,0.2,56.9,0.6
2024-25,San Mateo,South San Francisco Unified,Baden High (Continuation),Continuation,Active,7/1/1980 12:00:00 AM,South San Francisco,94080-3106,37.64997593,-122.4359412,130,0.0,67.7,6.2
2024-25,Los Angeles,Los Angeles Unified,Braddock Drive Elementary,Elementary,Active,7/1/1947 12:00:00 AM,Culver City,90230-5823,33.99227384,-118.41545721,541,5.2,35.7,28.7
2024-25,Los Angeles,Glendale Unified,La Crescenta Elementary,Elementary,Active,7/1/1980 12:00:00 AM,La Crescenta,91214-3806,34.22113487,-118.2403292,400,0.8,24.5,12.3
2024-25,Del Norte,Del Norte County Unified,Crescent Elk Middle,Middle,Active,7/1/1980 12:00:00 AM,Crescent City,95531-3417,41.75640509,-124.20351402,507,0.2,23.3,3.4
2024-25,Alameda,Albany City Unified,Albany High,High,Active,7/1/1980 12:00:00 AM,Albany,94706-1422,37.89630396,-122.29184721,1122,4.3,16.7,30.9
2024-25,San Diego,San Dieguito Union High,Carmel Valley Middle,Middle,Active,9/1/1999 12:00:00 AM,San Diego,92130-3572,32.94700478,-117.23181193,697,0.9,14.3,33.6
2024-25,Los Angeles,Los Angeles Unified,Rise Kohyang High,High,Active,8/22/2016 12:00:00 AM,Los Angeles,90004-6053,34.07316421,-118.28904283,470,4.0,72.1,19.6
2024-25,Los Angeles,Los Angeles Unified,George Ellery Hale Charter Academy,Middle,Active,7/1/1963 12:00:00 AM,Woodland Hills,91367-2922,34.17719785,-118.64560526,1693,5.2,33.1,13.1
2024-25,Fresno,Riverdale Joint Unified,Riverdale Elementary,Middle,Active,7/1/1980 12:00:00 AM,Riverdale,93656,36.434388,-119.86403467,507,1.0,89.3,0.2
2024-25,Riverside,Moreno Valley Unified,Edgemont Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Moreno Valley,92553-8141,33.9323049,-117.28231201,482,11.6,81.5,0.8
2024-25,Santa Barbara,Santa Barbara Unified,Harding University Partnership,Elementary,Active,7/1/1980 12:00:00 AM,Santa Barbara,93101-4734,34.41630481,-119.72121246,364,0.5,76.6,0.0
2024-25,Santa Clara,Milpitas Unified,Calaveras Hills,Continuation,Active,7/1/1980 12:00:00 AM,Milpitas,95035-5707,37.43705095,-121.8825931,105,6.7,56.2,10.5
2024-25,Riverside,Corona-Norco Unified,Academy of Innovation,Alternative Schools of Choice,Active,8/9/2017 12:00:00 AM,Corona,92882-6313,33.83920501,-117.57084796,556,7.6,48.7,7.0
2024-25,Orange,Newport-Mesa Unified,Horace Ensign Intermediate,Middle,Active,7/1/1980 12:00:00 AM,Newport Beach,92663-5223,33.61952583,-117.9165811,875,0.3,41.6,1.4
2024-25,Ventura,Simi Valley Unified,Arroyo Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Simi Valley,93065-1739,34.27344985,-118.7931723,264,0.8,80.3,1.5
2024-25,San Mateo,Bayshore Elementary,Bayshore,Elementary,Active,7/1/1980 12:00:00 AM,Daly City,94014-1530,37.70535394,-122.41421121,342,2.3,46.8,14.3
2024-25,Orange,Santa Ana Unified,Jim Thorpe Fundamental,Elementary,Active,9/7/1999 12:00:00 AM,Santa Ana,92704-7118,33.70294684,-117.9022061,738,0.0,89.6,5.6
2024-25,Riverside,Coachella Valley Unified,Cesar Chavez Elementary,Elementary,Active,9/10/1990 12:00:00 AM,Coachella,92236-1326,33.68810493,-116.1869118,622,0.0,98.6,0.0
2024-25,Sacramento,Sacramento City Unified,Hubert H. Bancroft Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Sacramento,95826-3604,38.55341908,-121.38665015,408,12.3,34.3,4.4
2024-25,Santa Barbara,Santa Barbara Unified,La Cuesta Continuation High,Continuation,Active,7/1/1980 12:00:00 AM,Santa Barbara,93101-2232,34.42109481,-119.69585046,77,0.0,94.8,0.0
2024-25,San Mateo,Jefferson Elementary,Garden Village Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Colma,94015-1628,37.69440493,-122.47811321,288,1.7,46.5,10.1
2024-25,Mendocino,Ukiah Unified,Tree of Life Charter,Elementary,Active,9/5/2000 12:00:00 AM,Ukiah,95482-3440,39.16716899,-123.2070405,93,0.0,25.8,5.4
2024-25,Alameda,Fremont Unified,John Gomes Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Fremont,94539-3750,37.55100496,-121.94881312,462,0.6,4.8,81.6
2024-25,Los Angeles,Culver City Unified,Linwood E. Howe Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Culver City,90232-2812,34.02190484,-118.39241221,567,6.2,30.5,4.4
2024-25,Los Angeles,Los Angeles Unified,Dorris Place Elementary,Elementary,Active,7/1/1925 12:00:00 AM,Los Angeles,90031-1161,34.09096186,-118.23794719,230,2.2,78.7,7.8
2024-25,San Bernardino,San Bernardino City Unified,Alternative Learning Center,Alternative Schools of Choice,Active,6/1/1990 12:00:00 AM,San Bernardino,92404-3269,34.14571592,-117.24743103,34,11.8,73.5,2.9
2024-25,Riverside,Moreno Valley Unified,Bayside Community Day,Community Day,Active,9/2/1997 12:00:00 AM,Moreno Valley,92553-3945,33.9090379,-117.233723,121,19.0,75.2,0.0
2024-25,Riverside,Riverside County Office of Education,Audeo Valley Charter,K-12,Active,7/1/2021 12:00:00 AM,Moreno Valley,92555-4544,33.9362059,-117.187226,238,13.0,64.7,1.7
2024-25,Tulare,Visalia Unified,Mineral King Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Visalia,93292-3313,36.32534203,-119.25505756,569,1.1,80.1,3.5
2024-25,Sacramento,Elk Grove Unified,Charles E. Mack Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Sacramento,95823-3733,38.48100107,-121.44529515,840,8.3,50.0,27.9
2024-25,Trinity,Douglas City Elementary,Douglas City Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Douglas City,96024-0280,40.65280513,-122.94391367,162,1.9,7.4,9.9
2024-25,Kern,Bakersfield City,Voorhies Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Bakersfield,93306-6032,35.36848896,-118.91802541,915,1.7,94.4,0.0
2024-25,Yolo,Woodland Joint Unified,Dingle Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Woodland,95695-3921,38.67330507,-121.77621323,338,0.9,79.3,3.6
2024-25,Los Angeles,Glendale Unified,Daily (Allan F.) High (Continuation),Continuation,Active,7/1/1980 12:00:00 AM,Glendale,91206-4209,34.14913387,-118.2511852,72,0.0,52.8,1.4
2024-25,Fresno,Kings Canyon Joint Unified,Lincoln Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Reedley,93654-2535,36.60120505,-119.44601262,303,0.7,88.4,0.0
2024-25,San Diego,Mountain Empire Unified,Descanso Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Descanso,91916-9757,32.85894681,-116.61358482,188,0.0,39.4,0.0
2024-25,Placer,Rocklin Unified,Spring View Middle,Middle,Active,7/1/1980 12:00:00 AM,Rocklin,95677-2322,38.79530512,-121.24091316,780,1.2,21.8,5.4
2024-25,San Diego,Chula Vista Elementary,Montgomery (John J.) Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Chula Vista,91911-5799,32.59768575,-117.06848088,338,0.9,94.7,0.0
2024-25,San Francisco,San Francisco Unified,Clarendon Alternative Elementary,Elementary,Active,7/1/1980 12:00:00 AM,San Francisco,94131-1113,37.75370394,-122.45620622,533,4.1,10.9,29.6
2024-25,Sacramento,San Juan Unified,Carriage Drive Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Citrus Heights,95621-2000,38.70259011,-121.29563216,444,3.6,36.3,4.1
2024-25,Sacramento,Twin Rivers Unified,Pacific Career and Technology High,Continuation,Active,7/1/1980 12:00:00 AM,North Highlands,95660-4375,38.6844741,-121.37225316,69,17.4,49.3,2.9
2024-25,Alameda,Oakland Unified,Fruitvale Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Oakland,94602-2899,37.79640196,-122.21373819,254,27.2,47.6,4.7
2024-25,San Diego,San Diego Unified,Fay Elementary,Elementary,Active,7/1/1980 12:00:00 AM,San Diego,92105-2209,32.75105077,-117.08394589,514,24.3,60.7,7.4
2024-25,San Diego,Escondido Union,Juniper Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Escondido,92025-6240,33.10510481,-117.06861191,588,0.9,85.5,0.7
2024-25,Los Angeles,Palmdale Elementary,"Desert Willow Fine Arts, Science and Technology Magnet Academy",Middle,Active,9/7/2004 12:00:00 AM,Palmdale,93550-1019,34.54570492,-118.0819122,948,13.2,79.5,0.3
2024-25,Humboldt,Northern Humboldt Union High,Pacific Coast High (Continuation),Continuation,Active,7/1/1980 12:00:00 AM,Arcata,95521-5741,40.87642704,-124.08908387,24,0.0,25.0,4.2
2024-25,Los Angeles,Inglewood Unified,Morningside High,High,Closed,7/1/1980 12:00:00 AM,Inglewood,90303-2003,33.93999484,-118.33255119,407,22.4,74.7,0.7
2024-25,Merced,Merced City Elementary,Tenaya Middle,Middle,Active,7/1/1980 12:00:00 AM,Merced,95340-5935,37.29215804,-120.49288786,607,5.8,83.0,4.4
